"Rk","Tm","Player","College","MP_T","VORP","Year"
3,"PHI","Jerry Stackhouse","University of North Carolina",30222,12.8,1995
4,"WSB","Rasheed Wallace","University of North Carolina",36243,37.5,1995
5,"MIN","Kevin Garnett","High School",50418,94,1995
6,"VAN","Bryant Reeves","Oklahoma State University",12071,-1.8,1995
7,"TOR","Damon Stoudamire","University of Arizona",29106,15.4,1995
8,"POR","Shawn Respert","Michigan State University",2350,-0.9,1995
9,"NJN","Ed O'Bannon","University of California, Los Angeles",2062,-1,1995
10,"MIA","Kurt Thomas","Texas Christian University",27160,13.2,1995
11,"MIL","Gary Trent","Ohio University",9866,1.7,1995
12,"DAL","Cherokee Parks","Duke University",7459,-0.1,1995
13,"SAC","Corliss Williamson","University of Arkansas",18749,-1.9,1995
14,"BOS","Eric Williams","Providence College",15731,-1.8,1995
15,"DEN","Brent Barry","Oregon State University",23643,27.2,1995
16,"ATL","Alan Henderson","Indiana University",13780,1.1,1995
17,"CLE","Bob Sura","Florida State University",15597,9.2,1995
18,"DET","Theo Ratliff","University of Wyoming",20500,15.1,1995
19,"DET","Randolph Childress","Wake Forest University",405,-0.4,1995
20,"CHI","Jason Caffey","University of Alabama",9045,-1.6,1995
21,"PHO","Michael Finley","University of Wisconsin",37996,29.2,1995
22,"CHH","George Zidek","University of California, Los Angeles",1328,-1.9,1995
23,"IND","Travis Best","Georgia Institute of Technology",15150,4,1995
24,"DAL","Loren Meyer","Iowa State University",2044,-2.2,1995
25,"ORL","David Vaughn","University of Memphis",1156,-1,1995
26,"SEA","Sherell Ford","University of Illinois at Chicago",139,-0.1,1995
27,"PHO","Mario Bennett","Arizona State University",606,0.3,1995
28,"UTA","Greg Ostertag","University of Kansas",14753,10,1995
29,"SAS","Cory Alexander","University of Virginia",4847,-0.2,1995
30,"DET","Lou Roe","University of Massachusetts Amherst",479,-0.5,1995
31,"CHI","Dragan Tarlac","International",598,-0.7,1995
32,"WSB","Terrence Rencher","University of Texas at Austin",405,-0.4,1995
33,"BOS","Junior Burrough","University of Virginia",495,-0.7,1995
34,"GSW","Andrew DeClercq","University of Florida",9847,2.4,1995
35,"TOR","Jimmy King","University of Michigan",890,-0.8,1995
36,"VAN","Lawrence Moten","Syracuse University",1814,-0.8,1995
37,"LAL","Frankie King","Western Carolina University",79,0,1995
38,"MIL","Rashard Griffith","University of Wisconsin",NA,NA,1995
39,"CLE","Donny Marshall","University of Connecticut",919,-0.6,1995
40,"GSW","Dwayne Whitfield","Jackson State University",122,-0.2,1995
41,"HOU","Erik Meek","Duke University",NA,NA,1995
42,"ATL","Donnie Boyce","University of Colorado",195,-0.2,1995
43,"MIL","Eric Snow","Michigan State University",23132,4.3,1995
44,"DEN","Anthony Pelle","California State University, Fresno",NA,NA,1995
45,"ATL","Troy Brown","Providence College",NA,NA,1995
46,"MIA","George Banks","University of Texas at El Paso",NA,NA,1995
47,"SAC","Tyus Edney","University of California, Los Angeles",4743,-0.9,1995
48,"MIN","Mark Davis","Texas Tech University",3681,0.3,1995
49,"MIN","Jerome Allen","University of Pennsylvania",1305,-0.7,1995
50,"GSW","Martin Lewis","Seward County Community College",239,-0.2,1995
51,"SAC","Dejan Bodiroga","International",NA,NA,1995
52,"IND","Fred Hoiberg","Iowa State University",9978,6.9,1995
53,"LAC","Constantin Popa","University of Miami",NA,NA,1995
54,"SEA","Aurelijius Zukauskas","International",NA,NA,1995
55,"GSW","Michael McDonald","University of New Orleans",4,0,1995
56,"PHO","Chris Carr","Southern Illinois University",4505,-2.4,1995
57,"ATL","Cuonzo Martin","Purdue University",32,-0.1,1995
58,"DET","Don Reid","Georgetown University",5374,2.4,1995
1,"PHI","Allen Iverson","Georgetown University",37584,44.1,1996
2,"TOR","Marcus Camby","University of Massachusetts Amherst",28684,35.6,1996
3,"VAN","Shareef Abdur-Rahim","University of California",28882,21.1,1996
4,"MIL","Stephon Marbury","Georgia Institute of Technology",31891,25.6,1996
5,"MIN","Ray Allen","University of Connecticut",46344,58.1,1996
6,"BOS","Antoine Walker","University of Kentucky",31531,21.9,1996
7,"LAC","Lorenzen Wright","University of Memphis",18535,0,1996
8,"NJN","Kerry Kittles","Villanova University",16929,16.9,1996
9,"DAL","Samaki Walker","University of Louisville",7612,-1.8,1996
10,"IND","Erick Dampier","Mississippi State University",24003,13.1,1996
11,"GSW","Todd Fuller","North Carolina State University",2500,-3.2,1996
12,"CLE","Vitaly Potapenko","Wright State University",11608,-4.4,1996
13,"CHH","Kobe Bryant","High School",48637,72.1,1996
14,"SAC","Peja Stojakovic","International",26966,23.9,1996
15,"PHO","Steve Nash","Santa Clara University",38069,31.2,1996
16,"CHH","Tony Delk","University of Kentucky",11702,2.1,1996
17,"POR","Jermaine O'Neal","High School",27364,13.9,1996
18,"NYK","John Wallace","Syracuse University",6143,-3.8,1996
19,"NYK","Walter McCarty","University of Kentucky",10374,1.7,1996
20,"CLE","Zydrunas Ilgauskas","International",22965,13,1996
21,"NYK","Dontae' Jones","Mississippi State University",91,-0.2,1996
22,"VAN","Roy Rogers","University of Alabama",2309,-0.7,1996
23,"DEN","Efthimi Rentzias","International",144,-0.1,1996
24,"LAL","Derek Fisher","University of Arkansas at Little Rock",32719,9.3,1996
25,"UTA","Martin Muursepp","International",951,0.2,1996
26,"DET","Jerome Williams","Georgetown University",12755,9,1996
27,"ORL","Brian Evans","Indiana University",1097,-0.1,1996
28,"ATL","Priest Lauderdale","Central State University",525,-0.8,1996
29,"CHI","Travis Knight","University of Connecticut",4566,0.8,1996
30,"HOU","Othella Harrington","Georgetown University",13924,-4,1996
31,"PHI","Mark Hendrickson","Washington State University",1508,-0.8,1996
32,"PHI","Ryan Minor","University of Oklahoma",NA,NA,1996
33,"MIL","Moochie Norris","University of West Florida",7640,-0.1,1996
34,"DAL","Shawn Harvey","West Virginia State University",NA,NA,1996
35,"SEA","Joseph Blair","University of Arizona",NA,NA,1996
36,"LAC","Doron Sheffer","University of Connecticut",NA,NA,1996
37,"DEN","Jeff McInnis","University of North Carolina",15927,-2.5,1996
38,"BOS","Steve Hamer","University of Tennessee",268,-0.4,1996
39,"PHO","Russ Millard","University of Iowa",NA,NA,1996
40,"GSW","Marcus Mann","Mississippi Valley State University",NA,NA,1996
41,"SAC","Jason Sasser","Texas Tech University",108,-0.1,1996
42,"HOU","Randy Livingston","Louisiana State University",2684,-1.2,1996
43,"PHO","Ben Davis","University of Arizona",154,-0.2,1996
44,"CHH","Malik Rose","Drexel University",13404,1.9,1996
45,"SEA","Joe Vogel","Colorado State University",NA,NA,1996
46,"POR","Marcus Brown","Murray State University",229,-0.1,1996
47,"SEA","Ron Riley","Arizona State University",NA,NA,1996
48,"PHI","Jamie Feick","Michigan State University",4316,0.4,1996
49,"ORL","Amal McCaskill","Marquette University",968,-0.6,1996
50,"HOU","Terrell Bell","University of Georgia",NA,NA,1996
51,"VAN","Chris Robinson","Western Kentucky University",1095,-0.6,1996
52,"IND","Mark Pope","University of Kentucky",1634,-0.5,1996
53,"MIL","Jeff Nordgaard","University of Wisconsin-Green Bay",48,-0.1,1996
